Provider,Services,Pricing Options,Description,Quantity,Compute,Container,Database,Serverless,Link
AWS,Amazon EC2,Free tier: 750 hrs a month for a year (EC2 microinstances only),Secure and resizable compute capacity (virtual servers) in the cloud,750 hrs per month,TRUE,TRUE,FALSE,FALSE,https://aws.amazon.com/ec2/?nc2=h_ql_prod_cp_ec2
AWS,Amazon EC2 Spot,Run fault-tolerant workloads for up to 90% off,Run fault-tolerant workloads for up to 90% off,,TRUE,TRUE,FALSE,FALSE,
AWS,Amazon EC2 Autoscaling,,Automatically add or remove compute capacity to meet changes in demand,,TRUE,FALSE,FALSE,FALSE,
AWS,AWS Copilot,,Quickly launch and manage containerized applications,,FALSE,TRUE,FALSE,FALSE,
AWS,Amazon Lightsale,,Easy-to-use cloud platform that offers you everything you need to build an application or website,,TRUE,TRUE,FALSE,FALSE,
AWS,AWS Batch,,Fully managed batch processing at any scale,,TRUE,FALSE,FALSE,FALSE,
AWS,Amazon Elastic Container Service (ECS),,"Highly secure, reliable, and scalable way to run containers",,TRUE,TRUE,FALSE,FALSE,
AWS,Amazon ECS Anywhere,,Run containers on customer-managed infrastructure,,TRUE,TRUE,FALSE,FALSE,
AWS,Amazon Elastic Container Registry,,"Easily store, manage, and deploy container images",,TRUE,TRUE,FALSE,FALSE,
AWS,AWS App Mesh,,Application-level networking for all your services,,FALSE,TRUE,FALSE,FALSE,
AWS,AWS Cloud Map,,Cloud resource discovery service,,FALSE,TRUE,FALSE,FALSE,
AWS,AWS App2Container,,Containerize and migrate existing applications,,FALSE,FALSE,FALSE,FALSE,
AWS,Red Hat OpenShift Service on AWS (ROSA),,"A fully managed, turnkey app platform",,FALSE,FALSE,FALSE,FALSE,
AWS,Amazon EKS Distro,,Run the Kubernetes distribution that powers Amazon EKS,,FALSE,FALSE,FALSE,FALSE,
AWS,AWS Proton,,Automated management for container and serverless deployments,,FALSE,FALSE,FALSE,FALSE,
AWS,Amazon Elastic Kubernetes Service (EKS),,Fully managed Kubernetes service,,TRUE,TRUE,FALSE,FALSE,
AWS,Amazon EKS Anywhere,,Create and operate Kubernetes clusters on your own infrastructure,,TRUE,TRUE,FALSE,FALSE,
AWS,AWS Fargate,,Serverless compute for containers,,TRUE,TRUE,FALSE,TRUE,
AWS,AWS App Runner,,Build and run containerized applications on a fully managed service,,TRUE,TRUE,FALSE,FALSE,
AWS,AWS Outposts,,Run AWS infrastructure and services on premises for a truly consistent hybrid experience,,TRUE,FALSE,FALSE,FALSE,
AWS,AWS Snow Family,,Collect and process data in rugged or disconnected edge environments,,TRUE,FALSE,FALSE,FALSE,
AWS,AWS Wavelength,,Deliver ultra-low latency application for 5G devices,,TRUE,FALSE,FALSE,FALSE,
AWS,VMware Coud on AWS,,Preferred service for all vSphere workloads to rapidly extend and migrate to the cloud,,TRUE,FALSE,FALSE,FALSE,
AWS,AWS Local Zones,,Run latency sensitive applications closer to end-users,,TRUE,FALSE,FALSE,FALSE,
AWS,AWS Savings Plan,,Flexible pricing model that provides savings of up to 72% on AWS compute usage,,TRUE,FALSE,FALSE,FALSE,
AWS,AWS Compute Optimiser,,Recommends optimal AWS compute resources for your workloads to reduce costs and improve performance,,TRUE,FALSE,FALSE,FALSE,
AWS,AWS Elastic Beanstalk,,Easy-to-use service for deploying and scaling web applications and services,,TRUE,FALSE,FALSE,FALSE,
AWS,EC2 Image Builder,,Build and maintain secure Linux or Windows Server images,,TRUE,FALSE,FALSE,FALSE,
AWS,Elastic Load Balancing (ELB),,Automatically distribute incoming application traffic across multiple targets,,TRUE,FALSE,FALSE,FALSE,
AWS,AWS Lambda,,Run code without thinking about servers. Pay only for the compute time you consume,,TRUE,TRUE,FALSE,TRUE,
AWS,Amazon RDS,,"Set up, operate, and scale a relational database in the cloud with just a few clicks.",,FALSE,FALSE,TRUE,FALSE,
AWS,Amazon DynamoDB,,"Amazon DynamoDB is a key-value and document database service, delivering single-digit millisecond performance at any scale.",,FALSE,FALSE,TRUE,TRUE,
AWS,Amazon ElastiCache,,"Amazon ElastiCache is a fully managed, Redis- and Memcached-compatible service delivering real-time, cost-optimized performance for modern applications.",,FALSE,FALSE,TRUE,FALSE,
AWS,AWS Database Migration Service,,"AWS Database Migration Service (AWS DMS) is a managed migration and replication service that helps move your database and analytics workloads to AWS quickly, securely, and with minimal downtime and zero data loss.",,FALSE,FALSE,TRUE,FALSE,
AWS,Amazon Timestream,,"Amazon Timestream is a fast, scalable, and serverless time-series database service that makes it easier to store and analyze trillions of events per day up to 1,000 times faster.",,FALSE,FALSE,TRUE,TRUE,
AWS,Amazon MemoryDB for Redis,,"Amazon MemoryDB for Redis is a durable database with microsecond reads, low single-digit millisecond writes, scalability, and enterprise security.",,FALSE,FALSE,TRUE,FALSE,
AWS,Amazon DocumentDB (with MongoDB compatibility),,Amazon DocumentDB (with MongoDB compatibility) is a fully managed native JSON document database that makes it easy and cost effective to operate critical document workloads at virtually any scale without managing infrastructure.,,FALSE,FALSE,TRUE,FALSE,
AWS,Amazon Neptune,,Serverless graph database designed for superior scalability and availability,,FALSE,FALSE,TRUE,FALSE,
AWS,Amazon Keyspaces (for Apache Cassandra),,"A scalable, highly available, and managed Apache Cassandra–compatible database service",,FALSE,FALSE,TRUE,FALSE,
AWS,Amazon RDS Proxy,,Amazon RDS Proxy is a managed database proxy for Amazon Relational Database Service (RDS) that makes applications more scalable and secure.,,FALSE,FALSE,TRUE,TRUE,
AWS,Amazon Aurora Serverless,,Amazon Aurora Serverless is a MySQL and PostgreSQL - compatible relational databse that automatically scales capacity based on you application's needs,,FALSE,FALSE,TRUE,TRUE,
AWS,Amazon Redshift Serverless,,Amazon Redshift Serverless makes it easy to run and scale analytics without having to manage your data warehouse infrastructure while only paying for what you use.,,FALSE,FALSE,TRUE,TRUE,
AWS,Amazon Neptune Serverless,,"Amazon Neptune serverless is an on-demand, scalable graph database that automatically provides customers with capacity based on an application's needs.",,FALSE,FALSE,TRUE,TRUE,
AWS,Amazon OpenSearch Serverless,,"Amazon OpenSearch Serverless is a serverless option in Amazon OpenSearch Service, helping deliver search and log analytics without provisioning and adjusting resources.",,FALSE,FALSE,TRUE,TRUE,
AWS,Amazon EFS,,"A serverless, fully elastic file system for buiders that makes it easy to get up, scale, and cost optimise highly available shared storage.",,FALSE,FALSE,TRUE,TRUE,
AWS,Amazon S3,,Amazon Simple Storage Service (Amazon S3) is an object storage service designed to store and protect any amount of data.,,FALSE,FALSE,TRUE,TRUE,
AWS,Amazon EventBridge,,Amazon EventBridge is a serverless event bus that lets you build event-driven applications at scale across AWS and existing systems.,,FALSE,FALSE,FALSE,TRUE,
AWS,Amazon SNS,,Amazon Simple Notification Service (SNS) is a fully managed messaging service for both application-to-application (A2A) and application-to-person (A2P) communication.,,FALSE,FALSE,FALSE,TRUE,
AWS,Amazon API Gateway,,Amazon API Gateway is a fully managed service that makes it easy to create and publish APIs at any scale.,,FALSE,FALSE,FALSE,TRUE,
AWS,Amazon SQS,,"Amazon Simple Queue Service (SQS) is a message queuing service enabling you to decouple and scale microservices, distributed systems, and serverless applications.",,FALSE,FALSE,FALSE,TRUE,
AWS,AWS Step Functions,,AWS Step Functions is a visual workflow orchastrator that makes it easy to sequence multiple AWS services into business-critical applications,,FALSE,FALSE,FALSE,TRUE,
AWS,AWS AppSync,,AWS AppSync is a fully managed service that accelerates application development with scalable GraphQL APIs.,,FALSE,FALSE,TRUE,TRUE,
AWS,Amazon Cloud Directory,,"Fully managed, hierarchical data store in AWS cloud",,FALSE,FALSE,TRUE,FALSE,
AWS,AWS Amplify Hosting,,"Fast, secure, and reliable hosting for modern web apps, powered by AWS Amplify",,FALSE,FALSE,FALSE,TRUE,
Microsoft Azure,Virtual Machines,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Virtual Machine Scale Sets,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Azure Kubernetes Service,,,,TRUE,TRUE,FALSE,FALSE,
